TOP_DEATH,RANK_D,DEATHS,TOP_TEST,RANK_T,TESTS
San Marino,1,1237,Andorra,1,1778642
Belgium,2,860,Faeroe Islands,2,1642742
Peru,3,818,Monaco,3,1322632
Andorra,4,686,Luxembourg,4,1126386
Spain,5,616,Gibraltar,5,841971
UK,6,609,Falkland Islands,6,645863
Italy,7,586,UAE,7,632496
Sweden,8,574,Bahrain,8,592064
Chile,9,558,Bermuda,9,581621
USA,10,536,Iceland,10,561236
